Categoria_Griglia,Nome_Griglia,Compito_Due,Compito_Tre,Cache_Usata,Sorted_Frontiera,Media_Cache_Hit,Media_Celle_Frontiera,Media_Iterazioni_Condizione,Tempo,Spazio_KB,Massima_Profondita,Esecuzioni_Corrette,Timeout,Destinazione_Irraggiungibile
LineaSpezzata,Griglia Grande,V1,PERFORMANCE_NO_CACHE,false,true,0,961192,87381,13s 407ms 994860ns,118.75,38,true,false,false
LineaSpezzata,Griglia Grande,V1,PERFORMANCE_NO_CONDIZIONE_RAFFORZATA,true,true,34,125,0,11ms 192490ns,93.75,30,true,false,false
LineaSpezzata,Griglia Grande,V1,PERFORMANCE_NO_SORTED_FRONTIERA,true,false,34,124,2,10ms 967680ns,90.63,29,true,false,false
LineaSpezzata,Griglia Grande,V1,PERFORMANCE_SORTED_FRONTIERA,false,true,0,1048573,0,14s 227ms 788730ns,118.75,38,true,false,false
LineaSpezzata,Griglia Grande,V1,PERFORMANCE_SVUOTA_FRONTIERA,false,false,0,1439,0,49ms 14710ns,118.75,38,true,false,false
LineaSpezzata,Griglia Grande,V1,PERFORMANCE,true,true,34,124,1,7ms 930310ns,93.75,30,true,false,false
LineaSpezzata,Griglia Media,V1,DEFAULT,false,false,0,1021,0,14ms 694930ns,28.13,18,true,false,false
LineaSpezzata,Griglia Media,V1,PERFORMANCE_CACHE,true,false,14,55,0,3ms 718710ns,23.44,15,true,false,false
LineaSpezzata,Griglia Media,V1,PERFORMANCE_CONDIZIONE_RAFFORZATA,false,false,0,936,170,14ms 695750ns,28.13,18,true,false,false
LineaSpezzata,Griglia Media,V1,PERFORMANCE_FULL,true,true,14,54,1,1ms 813650ns,23.44,15,true,false,false
LineaSpezzata,Griglia Media,V1,PERFORMANCE_NO_CACHE,false,true,0,936,85,12ms 989210ns,28.13,18,true,false,false
LineaSpezzata,Griglia Media,V1,PERFORMANCE_NO_CONDIZIONE_RAFFORZATA,true,true,14,55,0,3ms 302530ns,23.44,15,true,false,false
LineaSpezzata,Griglia Media,V1,PERFORMANCE_NO_SORTED_FRONTIERA,true,false,14,54,2,3ms 116300ns,21.88,14,true,false,false
LineaSpezzata,Griglia Media,V1,PERFORMANCE_SORTED_FRONTIERA,false,true,0,1021,0,13ms 212160ns,28.13,18,true,false,false
LineaSpezzata,Griglia Media,V1,PERFORMANCE_SVUOTA_FRONTIERA,false,false,0,171,0,4ms 194190ns,28.13,18,true,false,false
LineaSpezzata,Griglia Media,V1,PERFORMANCE,true,true,14,54,1,1ms 959210ns,23.44,15,true,false,false
LineaSpezzata,Griglia Piccola,V1,DEFAULT,false,false,0,39,0,0ms 808700ns,6.25,8,true,false,false
LineaSpezzata,Griglia Piccola,V1,PERFORMANCE_CACHE,true,false,4,23,0,0ms 834270ns,5.47,7,true,false,false
LineaSpezzata,Griglia Piccola,V1,PERFORMANCE_CONDIZIONE_RAFFORZATA,false,false,0,39,12,0ms 637700ns,6.25,8,true,false,false
LineaSpezzata,Griglia Piccola,V1,PERFORMANCE_FULL,true,true,4,20,1,0ms 549670ns,5.47,7,true,false,false
LineaSpezzata,Griglia Piccola,V1,PERFORMANCE_NO_CACHE,false,true,0,30,3,0ms 796320ns,6.25,8,true,false,false
LineaSpezzata,Griglia Piccola,V1,PERFORMANCE_NO_CONDIZIONE_RAFFORZATA,true,true,4,23,0,0ms 971350ns,5.47,7,true,false,false
LineaSpezzata,Griglia Piccola,V1,PERFORMANCE_NO_SORTED_FRONTIERA,true,false,4,23,4,0ms 939190ns,5.47,7,true,false,false
LineaSpezzata,Griglia Piccola,V1,PERFORMANCE_SORTED_FRONTIERA,false,true,0,39,0,0ms 832590ns,6.25,8,true,false,false
LineaSpezzata,Griglia Piccola,V1,PERFORMANCE_SVUOTA_FRONTIERA,false,false,0,31,0,0ms 720120ns,6.25,8,true,false,false
LineaSpezzata,Griglia Piccola,V1,PERFORMANCE,true,true,4,20,1,0ms 647980ns,5.47,7,true,false,false
Scacchiera,Griglia Grande,V0,DEFAULT,false,false,0,508,0,18ms 101240ns,3164,16,506,true,false,false
Scacchiera,Griglia Grande,V0,PERFORMANCE_CACHE,true,false,0,508,0,43ms 227490ns,3164,16,506,true,false,false
Scacchiera,Griglia Grande,V0,PERFORMANCE_CONDIZIONE_RAFFORZATA,false,false,0,508,1,18ms 29820ns,3164,16,506,true,false,false
Scacchiera,Griglia Grande,V0,PERFORMANCE_FULL,true,true,0,508,0,45ms 134450ns,3164,16,506,true,false,false
Scacchiera,Griglia Grande,V0,PERFORMANCE_NO_CACHE,false,true,0,508,0,18ms 955860ns,3164,16,506,true,false,false
Scacchiera,Griglia Grande,V0,PERFORMANCE_NO_CONDIZIONE_RAFFORZATA,true,true,0,508,0,42ms 825470ns,3164,16,506,true,false,false
Scacchiera,Griglia Grande,V0,PERFORMANCE_NO_SORTED_FRONTIERA,true,false,0,508,1,42ms 717990ns,3164,16,506,true,false,false
Scacchiera,Griglia Grande,V0,PERFORMANCE_SORTED_FRONTIERA,false,true,0,508,0,17ms 587590ns,3164,16,506,true,false,false
Scacchiera,Griglia Grande,V0,PERFORMANCE_SVUOTA_FRONTIERA,false,false,0,508,0,22ms 561900ns,3164,16,506,true,false,false
Scacchiera,Griglia Grande,V0,PERFORMANCE,true,true,0,508,0,42ms 711810ns,3164,16,506,true,false,false
Scacchiera,Griglia Media,V0,DEFAULT,false,false,0,132,0,2ms 183430ns,204.69,131,true,false,false
Scacchiera,Griglia Media,V0,PERFORMANCE_CACHE,true,false,0,132,0,3ms 538190ns,204.69,131,true,false,false
Scacchiera,Griglia Media,V0,PERFORMANCE_CONDIZIONE_RAFFORZATA,false,false,0,132,0,1ms 884030ns,204.69,131,true,false,false
Scacchiera,Griglia Media,V0,PERFORMANCE_FULL,true,true,0,132,0,3ms 927020ns,204.69,131,true,false,false
Scacchiera,Griglia Media,V0,PERFORMANCE_NO_CACHE,false,true,0,132,0,1ms 963180ns,204.69,131,true,false,false
Scacchiera,Griglia Media,V0,PERFORMANCE_NO_CONDIZIONE_RAFFORZATA,true,true,0,132,0,4ms 94460ns,204.69,131,true,false,false
Scacchiera,Griglia Media,V0,PERFORMANCE_NO_SORTED_FRONTIERA,true,false,0,132,0,3ms 685450ns,204.69,131,true,false,false
Scacchiera,Griglia Media,V0,PERFORMANCE_SORTED_FRONTIERA,false,true,0,132,0,1ms 762110ns,204.69,131,true,false,false
Scacchiera,Griglia Media,V0,PERFORMANCE_SVUOTA_FRONTIERA,false,false,0,132,0,2ms 429170ns,204.69,131,true,false,false
Scacchiera,Griglia Media,V0,PERFORMANCE,true,true,0,132,0,3ms 881460ns,204.69,131,true,false,false
Scacchiera,Griglia Piccola,V0,DEFAULT,false,false,0,88,0,1ms 14730ns,47.66,61,true,false,false
Scacchiera,Griglia Piccola,V0,PERFORMANCE_CACHE,true,false,1,64,0,1ms 509790ns,47.66,61,true,false,false
Scacchiera,Griglia Piccola,V0,PERFORMANCE_CONDIZIONE_RAFFORZATA,false,false,0,88,0,0ms 958390ns,47.66,61,true,false,false
Scacchiera,Griglia Piccola,V0,PERFORMANCE_FULL,true,true,1,64,0,1ms 317830ns,46.88,60,true,false,false
Scacchiera,Griglia Piccola,V0,PERFORMANCE_NO_CACHE,false,true,0,88,0,1ms 33860ns,47.66,61,true,false,false
Scacchiera,Griglia Piccola,V0,PERFORMANCE_NO_CONDIZIONE_RAFFORZATA,true,true,1,64,0,1ms 283590ns,46.88,60,true,false,false
Scacchiera,Griglia Piccola,V0,PERFORMANCE_NO_SORTED_FRONTIERA,true,false,1,64,0,1ms 368440ns,47.66,61,true,false,false
Scacchiera,Griglia Piccola,V0,PERFORMANCE_SORTED_FRONTIERA,false,true,0,88,0,0ms 984120ns,47.66,61,true,false,false
Scacchiera,Griglia Piccola,V0,PERFORMANCE_SVUOTA_FRONTIERA,false,false,0,64,0,0ms 808260ns,47.66,61,true,false,false
Scacchiera,Griglia Piccola,V0,PERFORMANCE,true,true,1,64,0,1ms 272010ns,46.88,60,true,false,false
Scacchiera,Griglia Grande,V1,DEFAULT,false,false,0,506,0,60ms 849140ns,3164,16,506,true,false,false
Scacchiera,Griglia Grande,V1,PERFORMANCE_CACHE,true,false,0,506,0,82ms 367320ns,3164,16,506,true,false,false
Scacchiera,Griglia Grande,V1,PERFORMANCE_CONDIZIONE_RAFFORZATA,false,false,0,506,1,61ms 513080ns,3164,16,506,true,false,false
Scacchiera,Griglia Grande,V1,PERFORMANCE_FULL,true,true,0,506,0,85ms 178730ns,3164,16,506,true,false,false
Scacchiera,Griglia Grande,V1,PERFORMANCE_NO_CACHE,false,true,0,506,0,65ms 660300ns,3164,16,506,true,false,false
Scacchiera,Griglia Grande,V1,PERFORMANCE_NO_CONDIZIONE_RAFFORZATA,true,true,0,506,0,79ms 515430ns,3164,16,506,true,false,false
Scacchiera,Griglia Grande,V1,PERFORMANCE_NO_SORTED_FRONTIERA,true,false,0,506,1,80ms 410550ns,3164,16,506,true,false,false
Scacchiera,Griglia Grande,V1,PERFORMANCE_SORTED_FRONTIERA,false,true,0,506,0,59ms 99750ns,3164,16,506,true,false,false
Scacchiera,Griglia Grande,V1,PERFORMANCE_SVUOTA_FRONTIERA,false,false,0,506,0,65ms 217450ns,3164,16,506,true,false,false
Scacchiera,Griglia Grande,V1,PERFORMANCE,true,true,0,506,0,81ms 104370ns,3164,16,506,true,false,false
Scacchiera,Griglia Media,V1,DEFAULT,false,false,0,130,0,4ms 292880ns,204.69,131,true,false,false
Scacchiera,Griglia Media,V1,PERFORMANCE_CACHE,true,false,0,130,0,5ms 572710ns,204.69,131,true,false,false
Scacchiera,Griglia Media,V1,PERFORMANCE_CONDIZIONE_RAFFORZATA,false,false,0,130,0,4ms 255400ns,204.69,131,true,false,false
